Date,Close
Jan 02 2000,281.9
Jan 09 2000,283.9
Jan 16 2000,289.3
Jan 23 2000,283
Jan 30 2000,310.4
Feb 06 2000,311.1
Feb 13 2000,305.2
Feb 20 2000,293
Feb 27 2000,288.8
Mar 05 2000,288.6
Mar 12 2000,284.1
Mar 19 2000,284.7
Mar 26 2000,278.4
Apr 02 2000,279.8
Apr 09 2000,282.6
Apr 16 2000,279.7
Apr 23 2000,273.1
Apr 30 2000,278.5
May 07 2000,276
May 14 2000,274.1
May 21 2000,272.2
May 28 2000,281.4
Jun 04 2000,283.6
Jun 11 2000,288.7
Jun 18 2000,282.7
Jun 25 2000,290.1
Jul 02 2000,283.2
Jul 09 2000,281.1
Jul 16 2000,280.1
Jul 23 2000,277.7
Jul 30 2000,272.6
Aug 06 2000,275.1
Aug 13 2000,276.8
Aug 20 2000,274.1
Aug 27 2000,277
Sep 03 2000,273.3
Sep 10 2000,272.3
Sep 17 2000,271.8
Sep 24 2000,273.6
Oct 01 2000,269.3
Oct 08 2000,272.4
Oct 15 2000,271.2
Oct 22 2000,264.4
Oct 29 2000,264.6
Nov 05 2000,264.5
Nov 12 2000,265.7
Nov 19 2000,266.3
Nov 26 2000,268.7
Dec 03 2000,272.2
Dec 10 2000,270.4
Dec 17 2000,273.7
Dec 24 2000,272
Dec 31 2000,268
Jan 07 2001,263.9
Jan 14 2001,264.3
Jan 21 2001,262.8
Jan 28 2001,267.1
Feb 04 2001,259.9
Feb 11 2001,258.2
Feb 18 2001,260.9
Feb 25 2001,262.1
Mar 04 2001,270.8
Mar 11 2001,258.1
Mar 18 2001,261.5
Mar 25 2001,257.9
Apr 01 2001,260
Apr 08 2001,260.1
Apr 15 2001,264.8
Apr 22 2001,263.9
Apr 29 2001,266.1
May 06 2001,267.9
May 13 2001,287.4
May 20 2001,277.9
May 27 2001,266.4
Jun 03 2001,273.4
Jun 10 2001,271.2
Jun 17 2001,272.3
Jun 24 2001,270.6
Jul 01 2001,265.9
Jul 08 2001,267.1
Jul 15 2001,269.9
Jul 22 2001,267.4
Jul 29 2001,267.9
Aug 05 2001,273.9
Aug 12 2001,279.3
Aug 19 2001,272.5
Aug 26 2001,274.4
Sep 02 2001,273.1
Sep 09 2001,290.2
Sep 16 2001,291.9
Sep 23 2001,292.4
Sep 30 2001,291.4
Oct 07 2001,284.9
Oct 14 2001,280.1
Oct 21 2001,277.9
Oct 28 2001,279.8
Nov 04 2001,277.4
Nov 11 2001,274.7
Nov 18 2001,272.9
Nov 25 2001,273.9
Dec 02 2001,273.9
Dec 09 2001,278
Dec 16 2001,278
Dec 23 2001,276.5
Dec 30 2001,278.9
Jan 06 2002,287.4
Jan 13 2002,283.1
Jan 20 2002,278.8
Jan 27 2002,286
Feb 03 2002,303.5
Feb 10 2002,298.4
Feb 17 2002,293.2
Feb 24 2002,298
Mar 03 2002,290.1
Mar 10 2002,289.9
Mar 17 2002,297.3
Mar 24 2002,302.6
Mar 31 2002,300.1
Apr 07 2002,302.1
Apr 14 2002,302.3
Apr 21 2002,311.6
Apr 28 2002,312.2
May 05 2002,311
May 12 2002,310.6
May 19 2002,320.4
May 26 2002,326.5
Jun 02 2002,324.6
Jun 09 2002,319.1
Jun 16 2002,324.6
Jun 23 2002,313.5
Jun 30 2002,310.9
Jul 07 2002,315.6
Jul 14 2002,323.9
Jul 21 2002,303.4
Jul 28 2002,307
Aug 04 2002,314.2
Aug 11 2002,313.7
Aug 18 2002,306.7
Aug 25 2002,312.4
Sep 01 2002,319.9
Sep 08 2002,316.6
Sep 15 2002,321.9
Sep 22 2002,319.7
Sep 29 2002,322.1
Oct 06 2002,316.3
Oct 13 2002,312.7
Oct 20 2002,313.4
Oct 27 2002,318.8
Nov 03 2002,321.3
Nov 10 2002,320.7
Nov 17 2002,320.7
Nov 24 2002,316.8
Dec 01 2002,326.3
Dec 08 2002,333.2
Dec 15 2002,340.5
Dec 22 2002,349.2
Dec 29 2002,351.2
Jan 05 2003,354.5
Jan 12 2003,356.6
Jan 19 2003,368.2
Jan 26 2003,368.3
Feb 02 2003,369.9
Feb 09 2003,351.9
Feb 16 2003,351.8
Feb 23 2003,350.2
Mar 02 2003,350.8
Mar 09 2003,336.5
Mar 16 2003,326
Mar 23 2003,331.5
Mar 30 2003,325.3
Apr 06 2003,327.9
Apr 13 2003,327.2
Apr 20 2003,333.4
Apr 27 2003,341
May 04 2003,348.6
May 11 2003,354.7
May 18 2003,368.8
May 25 2003,364.5
Jun 01 2003,363.7
Jun 08 2003,356.6
Jun 15 2003,356.3
Jun 22 2003,345.2
Jun 29 2003,351
Jul 06 2003,344.8
Jul 13 2003,347.2
Jul 20 2003,362.7
Jul 27 2003,346.1
Aug 03 2003,356.3
Aug 10 2003,363.2
Aug 17 2003,363.1
Aug 24 2003,375.7
Aug 31 2003,377.6
Sep 07 2003,375.8
Sep 14 2003,381.8
Sep 21 2003,380.8
Sep 28 2003,369.4
Oct 05 2003,373.6
Oct 12 2003,371.8
Oct 19 2003,388.9
Oct 26 2003,384.5
Nov 02 2003,383.3
Nov 09 2003,397.8
Nov 16 2003,396
Nov 23 2003,396.8
Nov 30 2003,406.4
Dec 07 2003,409.4
Dec 14 2003,409.2
Dec 21 2003,412.3
Dec 28 2003,415.7
Jan 04 2004,426.4
Jan 11 2004,406.7
Jan 18 2004,407.9
Jan 25 2004,402.2
Feb 01 2004,403.6
Feb 08 2004,410.3
Feb 15 2004,397.5
Feb 22 2004,396.4
Feb 29 2004,401.3
Mar 07 2004,395.3
Mar 14 2004,412.5
Mar 21 2004,422.1
Mar 28 2004,421.6
Apr 04 2004,419.9
Apr 11 2004,401
Apr 18 2004,395.1
Apr 25 2004,387
May 02 2004,378.7
May 09 2004,377
May 16 2004,384.8
May 23 2004,394
May 30 2004,390.9
Jun 06 2004,385.9
Jun 13 2004,395.1
Jun 20 2004,402.9
Jun 27 2004,398.3
Jul 04 2004,407.5
Jul 11 2004,406.6
Jul 18 2004,390.5
Jul 25 2004,391
Aug 01 2004,399.8
Aug 08 2004,398.9
Aug 15 2004,413.2
Aug 22 2004,403.3
Aug 29 2004,400.5
Sep 05 2004,401.9
Sep 12 2004,405.8
Sep 19 2004,408.1
Sep 26 2004,419.5
Oct 03 2004,423.1
Oct 10 2004,418.7
Oct 17 2004,424.6
Oct 24 2004,428.5
Oct 31 2004,433.6
Nov 07 2004,437.9
Nov 14 2004,446.8
Nov 21 2004,449.3
Nov 28 2004,456
Dec 05 2004,433.9
Dec 12 2004,441.6
Dec 19 2004,441.9
Dec 26 2004,437.5
Jan 02 2005,418.9
Jan 09 2005,422.7
Jan 16 2005,426.7
Jan 23 2005,425.8
Jan 30 2005,414
Feb 06 2005,420.5
Feb 13 2005,427.1
Feb 20 2005,434.9
Feb 27 2005,434.2
Mar 06 2005,446.2
Mar 13 2005,439.3
Mar 20 2005,424.7
Mar 27 2005,425.9
Apr 03 2005,426.9
Apr 10 2005,424.9
Apr 17 2005,434.3
Apr 24 2005,435
May 01 2005,426.1
May 08 2005,420.2
May 15 2005,417.4
May 22 2005,419.8
May 29 2005,423.7
Jun 05 2005,427.4
Jun 12 2005,438.3
Jun 19 2005,440.5
Jun 26 2005,427.8
Jul 03 2005,422.9
Jul 10 2005,420.7
Jul 17 2005,424.7
Jul 24 2005,429.9
Jul 31 2005,437.2
Aug 07 2005,445.9
Aug 14 2005,437.2
Aug 21 2005,437.4
Aug 28 2005,444.2
Sep 04 2005,449
Sep 11 2005,459.5
Sep 18 2005,463.5
Sep 25 2005,469
Oct 02 2005,474.7
Oct 09 2005,469.2
Oct 16 2005,467
Oct 23 2005,473
Oct 30 2005,456.3
Nov 06 2005,468.3
Nov 13 2005,485.6
Nov 20 2005,492.1
Nov 27 2005,503.3
Dec 04 2005,527
Dec 11 2005,503.4
Dec 18 2005,503
Dec 25 2005,517.1
Jan 01 2006,539.7
Jan 08 2006,556.1
Jan 15 2006,553.5
Jan 22 2006,558.7
Jan 29 2006,567.4
Feb 05 2006,550.2
Feb 12 2006,551.8
Feb 19 2006,558.8
Feb 26 2006,566
Mar 05 2006,539.9
Mar 12 2006,554.1
Mar 19 2006,560
Mar 26 2006,581.8
Apr 02 2006,588.4
Apr 09 2006,596.5
Apr 16 2006,632.2
Apr 23 2006,651.8
Apr 30 2006,682.2
May 07 2006,710.3
May 14 2006,656.7
May 21 2006,650.9
May 28 2006,635.5
Jun 04 2006,608.2
Jun 11 2006,578
Jun 18 2006,584.8
Jun 25 2006,613.5
Jul 02 2006,632.8
Jul 09 2006,666.6
Jul 16 2006,619.6
Jul 23 2006,634.8
Jul 30 2006,644
Aug 06 2006,633.5
Aug 13 2006,612.1
Aug 20 2006,622
Aug 27 2006,624.4
Sep 03 2006,609.6
Sep 10 2006,576.4
Sep 17 2006,589.4
Sep 24 2006,598.6
Oct 01 2006,572.4
Oct 08 2006,588.8
Oct 15 2006,593
Oct 22 2006,598.2
Oct 29 2006,626.9
Nov 05 2006,628.4
Nov 12 2006,621.5
Nov 19 2006,628.7
Nov 26 2006,644.7
Dec 03 2006,626.1
Dec 10 2006,615
Dec 17 2006,619.1
Dec 24 2006,635.2
Dec 31 2006,604.9
Jan 07 2007,625.5
Jan 14 2007,635.5
Jan 21 2007,644.5
Jan 28 2007,646.2
Feb 04 2007,667.5
Feb 11 2007,668.8
Feb 18 2007,683.1
Feb 25 2007,641.5
Mar 04 2007,650
Mar 11 2007,652.6
Mar 18 2007,656.7
Mar 25 2007,663
Apr 01 2007,674.2
Apr 08 2007,685.4
Apr 15 2007,692
Apr 22 2007,678.7
Apr 29 2007,687.2
May 06 2007,670.6
May 13 2007,661
May 20 2007,655.1
May 27 2007,671.2
Jun 03 2007,645.5
Jun 10 2007,654.5
Jun 17 2007,653.5
Jun 24 2007,648.1
Jul 01 2007,652.7
Jul 08 2007,665.8
Jul 15 2007,683.9
Jul 22 2007,660
Jul 29 2007,672.5
Aug 05 2007,670.3
Aug 12 2007,656.9
Aug 19 2007,668
Aug 26 2007,673
Sep 02 2007,700.8
Sep 09 2007,709.6
Sep 16 2007,731.4
Sep 23 2007,742.8
Sep 30 2007,741.3
Oct 07 2007,748.7
Oct 14 2007,764
Oct 21 2007,783.9
Oct 28 2007,805.7
Nov 04 2007,832.5
Nov 11 2007,785.7
Nov 18 2007,824
Nov 25 2007,782.2
Dec 02 2007,794.4
Dec 09 2007,793.3
Dec 16 2007,811.6
Dec 23 2007,839.6
Dec 30 2007,863.1
Jan 06 2008,896.1
Jan 13 2008,880.8
Jan 20 2008,910.5
Jan 27 2008,908.7
Feb 03 2008,918.4
Feb 10 2008,902.8
Feb 17 2008,944.7
Feb 24 2008,972.1
Mar 02 2008,972.2
Mar 09 2008,998.2
Mar 16 2008,919.6
Mar 23 2008,930.6
Mar 30 2008,909
Apr 06 2008,923.6
Apr 13 2008,912.2
Apr 20 2008,887.2
Apr 27 2008,856.1
May 04 2008,884.5
May 11 2008,899
May 18 2008,925.6
May 25 2008,887.3
Jun 01 2008,895.4
Jun 08 2008,870.3
Jun 15 2008,901.3
Jun 22 2008,929.3
Jun 29 2008,931.9
Jul 06 2008,959.5
Jul 13 2008,957.3
Jul 20 2008,926.6
Jul 27 2008,909
Aug 03 2008,857.8
Aug 10 2008,786
Aug 17 2008,827.4
Aug 24 2008,829.3
Aug 31 2008,797.6
Sep 07 2008,760.3
Sep 14 2008,860.6
Sep 21 2008,882.9
Sep 28 2008,828.9
Oct 05 2008,855.4
Oct 12 2008,785.1
Oct 19 2008,729.1
Oct 26 2008,716.8
Nov 02 2008,733.2
Nov 09 2008,742.4
Nov 16 2008,791.7
Nov 23 2008,816.2
Nov 30 2008,750.5
Dec 07 2008,818.9
Dec 14 2008,836.4
Dec 21 2008,870.4
Dec 28 2008,878.8
Jan 04 2009,854.3
Jan 11 2009,839.3
Jan 18 2009,895.3
Jan 25 2009,927.3
Feb 01 2009,913.9
Feb 08 2009,941.5
Feb 15 2009,1001.8
Feb 22 2009,941.5
Mar 01 2009,942.1
Mar 08 2009,929.8
Mar 15 2009,955.8
Mar 22 2009,923
Mar 29 2009,895.6
Apr 05 2009,882.2
Apr 12 2009,867.4
Apr 19 2009,913.6
Apr 26 2009,887.6
May 03 2009,914.4
May 10 2009,930.9
May 17 2009,958.5
May 24 2009,978.8
May 31 2009,961.7
Jun 07 2009,940.1
Jun 14 2009,935.6
Jun 21 2009,940.7
Jun 28 2009,930.7
Jul 05 2009,912.2
Jul 12 2009,937.2
Jul 19 2009,952.8
Jul 26 2009,953.7
Aug 02 2009,957.3
Aug 09 2009,947
Aug 16 2009,953.2
Aug 23 2009,957
Aug 30 2009,994.9
Sep 06 2009,1004.9
Sep 13 2009,1009.2
Sep 20 2009,990.2
Sep 27 2009,1003.2
Oct 04 2009,1047.8
Oct 11 2009,1050.7
Oct 18 2009,1055.6
Oct 25 2009,1039.7
Nov 01 2009,1095.1
Nov 08 2009,1116.1
Nov 15 2009,1146.4
Nov 22 2009,1174.2
Nov 29 2009,1168.8
Dec 06 2009,1119.4
Dec 13 2009,1110.8
Dec 20 2009,1104.1
Dec 27 2009,1095.2
Jan 03 2010,1138.2
Jan 10 2010,1130.1
Jan 17 2010,1089.2
Jan 24 2010,1083
Jan 31 2010,1052.2
Feb 07 2010,1089.5
Feb 14 2010,1121.3
Feb 21 2010,1118.3
Feb 28 2010,1134.8
Mar 07 2010,1101.5
Mar 14 2010,1107.4
Mar 21 2010,1104.2
Mar 28 2010,1125.1
Apr 04 2010,1161.1
Apr 11 2010,1136.3
Apr 18 2010,1153.1
Apr 25 2010,1180.1
May 02 2010,1210
May 09 2010,1227.4
May 16 2010,1175.7
May 23 2010,1212.2
May 30 2010,1216.2
Jun 06 2010,1228.9
Jun 13 2010,1257.2
Jun 20 2010,1255.8
Jun 27 2010,1207.4
Jul 04 2010,1209.6
Jul 11 2010,1188
Jul 18 2010,1187.7
Jul 25 2010,1181.7
Aug 01 2010,1203.4
Aug 08 2010,1214.9
Aug 15 2010,1227.2
Aug 22 2010,1236
Aug 29 2010,1249.2
Sep 05 2010,1244.5
Sep 12 2010,1275.6
Sep 19 2010,1296
Sep 26 2010,1316.1
Oct 03 2010,1344.2
Oct 10 2010,1371.1
Oct 17 2010,1324.4
Oct 24 2010,1357.1
Oct 31 2010,1397.3
Nov 07 2010,1365.4
Nov 14 2010,1352.2
Nov 21 2010,1362.3
Nov 28 2010,1405.4
Dec 05 2010,1384.3
Dec 12 2010,1378.6
Dec 19 2010,1380
Dec 26 2010,1421.1
Jan 02 2011,1368.5
Jan 09 2011,1360.4
Jan 16 2011,1341
Jan 23 2011,1340.7
Jan 30 2011,1348.3
Feb 06 2011,1359.9
Feb 13 2011,1388.2
Feb 20 2011,1408.7
Feb 27 2011,1428.2
Mar 06 2011,1421.5
Mar 13 2011,1415.9
Mar 20 2011,1426.1
Mar 27 2011,1428.1
Apr 03 2011,1473.4
Apr 10 2011,1485.3
Apr 17 2011,1503.2
Apr 24 2011,1556
May 01 2011,1491.2
May 08 2011,1493.4
May 15 2011,1508.8
May 22 2011,1536.3
May 29 2011,1541.7
Jun 05 2011,1528.6
Jun 12 2011,1538.6
Jun 19 2011,1500.5
Jun 26 2011,1482.3
Jul 03 2011,1541.2
Jul 10 2011,1589.8
Jul 17 2011,1601.3
Jul 24 2011,1628.3
Jul 31 2011,1648.8
Aug 07 2011,1740.2
Aug 14 2011,1848.9
Aug 21 2011,1794.1
Aug 28 2011,1873.7
Sep 04 2011,1856.4
Sep 11 2011,1812.1
Sep 18 2011,1637.5
Sep 25 2011,1620.4
Oct 02 2011,1634.5
Oct 09 2011,1681.8
Oct 16 2011,1635.1
Oct 23 2011,1746.2
Oct 30 2011,1755.3
Nov 06 2011,1787.5
Nov 13 2011,1724.7
Nov 20 2011,1685.5
Nov 27 2011,1747
Dec 04 2011,1712.8
Dec 11 2011,1595.6
Dec 18 2011,1604.7
Dec 25 2011,1565.8
Jan 01 2012,1616.1
Jan 08 2012,1630.4
Jan 15 2012,1663.7
Jan 22 2012,1731.8
Jan 29 2012,1737.9
Feb 05 2012,1723.3
Feb 12 2012,1724.5
Feb 19 2012,1775.1
Feb 26 2012,1708.8
Mar 04 2012,1710.9
Mar 11 2012,1655.5
Mar 18 2012,1662.3
Mar 25 2012,1669.3
Apr 01 2012,1628.5
Apr 08 2012,1659.1
Apr 15 2012,1642.1
Apr 22 2012,1664
Apr 29 2012,1644.7
May 06 2012,1583.6
May 13 2012,1591.6
May 20 2012,1568.8
May 27 2012,1620.5
Jun 03 2012,1590.1
Jun 10 2012,1627
Jun 17 2012,1566
Jun 24 2012,1603.5
Jul 01 2012,1578.4
Jul 08 2012,1591.6
Jul 15 2012,1582.5
Jul 22 2012,1617.9
Jul 29 2012,1606
Aug 05 2012,1619.7
Aug 12 2012,1616.3
Aug 19 2012,1669.8
Aug 26 2012,1684.6
Sep 02 2012,1737.5
Sep 09 2012,1769.8
Sep 16 2012,1775.5
Sep 23 2012,1771.1
Sep 30 2012,1778.6
Oct 07 2012,1758
Oct 14 2012,1722.8
Oct 21 2012,1710.9
Oct 28 2012,1674.1
Nov 04 2012,1730.3
Nov 11 2012,1714.3
Nov 18 2012,1751.3
Nov 25 2012,1710.9
Dec 02 2012,1704
