Date,Close
Mar 19 2006,64.26
Mar 26 2006,66.63
Apr 02 2006,67.39
Apr 09 2006,69.32
Apr 16 2006,75.17
Apr 23 2006,71.88
Apr 30 2006,70.19
May 07 2006,72.04
May 14 2006,68.53
May 21 2006,71.37
May 28 2006,72.33
Jun 04 2006,71.63
Jun 11 2006,69.88
Jun 18 2006,70.87
Jun 25 2006,73.93
Jul 02 2006,74.09
Jul 09 2006,77.03
Jul 16 2006,74.43
Jul 23 2006,73.24
Jul 30 2006,74.76
Aug 06 2006,74.35
Aug 13 2006,71.14
Aug 20 2006,72.51
Aug 27 2006,69.19
Sep 03 2006,66.25
Sep 10 2006,63.33
Sep 17 2006,60.55
Sep 24 2006,62.91
Oct 01 2006,59.76
Oct 08 2006,58.57
Oct 15 2006,56.82
Oct 22 2006,60.75
Oct 29 2006,59.14
Nov 05 2006,59.59
Nov 12 2006,55.81
Nov 19 2006,59.24
Nov 26 2006,63.43
Dec 03 2006,62.03
Dec 10 2006,63.43
Dec 17 2006,62.41
Dec 24 2006,61.05
Dec 31 2006,56.31
Jan 07 2007,52.99
Jan 14 2007,51.99
Jan 21 2007,55.42
Jan 28 2007,59.02
Feb 04 2007,59.89
Feb 11 2007,59.39
Feb 18 2007,61.14
Feb 25 2007,61.64
Mar 04 2007,60.05
Mar 11 2007,57.11
Mar 18 2007,62.28
Mar 25 2007,65.87
Apr 01 2007,64.28
Apr 08 2007,63.63
Apr 15 2007,63.38
Apr 22 2007,66.46
Apr 29 2007,61.93
May 06 2007,62.37
May 13 2007,64.94
May 20 2007,65.2
May 27 2007,65.08
Jun 03 2007,64.76
Jun 10 2007,68
Jun 17 2007,69.14
Jun 24 2007,70.68
Jul 01 2007,72.81
Jul 08 2007,73.93
Jul 15 2007,75.57
Jul 22 2007,77.02
Jul 29 2007,75.48
Aug 05 2007,71.47
Aug 12 2007,71.98
Aug 19 2007,71.09
Aug 26 2007,74.04
Sep 02 2007,76.7
Sep 09 2007,79.1
Sep 16 2007,81.62
Sep 23 2007,81.66
Sep 30 2007,81.22
Oct 07 2007,83.69
Oct 14 2007,88.6
Oct 21 2007,91.86
Oct 28 2007,95.93
Nov 04 2007,96.32
