Date,Open,High,Low,Close,Adj Close,Volume
2000-12-30,15089.849609,15494.559570,14512.709961,15447.610352,15447.610352,0
2001-01-06,15328.120117,15555.969727,15060.809570,15295.419922,15295.419922,0
2001-01-13,15288.809570,15964.929688,15146.650391,15933.549805,15933.549805,0
2001-01-20,15967.660156,16106.160156,15906.580078,16044.209961,16044.209961,0
2001-01-27,16176.099609,16274.669922,15877.230469,16071.290039,16071.290039,0
2001-02-03,16013.459961,16060.320313,15753.969727,15873.280273,15873.280273,0
2001-02-10,15807.639648,16021.219727,15544.620117,15630.309570,15630.309570,0
2001-02-17,15552.940430,15613.440430,15039.080078,15280.559570,15280.559570,0
2001-02-24,15278.150391,15304.660156,13951.429688,13966.429688,13966.429688,0
2001-03-03,14011.299805,14432.219727,13908.070313,14194.349609,14194.349609,0
2001-03-10,13969.049805,13969.049805,12947.589844,13522.040039,13522.040039,0
2001-03-17,13383.809570,13565.969727,12396.969727,12583.360352,12583.360352,0
2001-03-24,12678.900391,13056.320313,12523.610352,12760.639648,12760.639648,0
2001-03-31,12750.309570,12843.900391,12062.839844,12386.610352,12386.610352,0
2001-04-07,12355.610352,13018.570313,12061.549805,12989.469727,12989.469727,0
2001-04-14,12881.519531,13621.799805,12597.360352,13448.129883,13448.129883,0
2001-04-21,13444.410156,13444.410156,13125.360352,13386.040039,13386.040039,0
2001-04-28,13596.269531,13844.360352,13319.389648,13390.990234,13390.990234,0
2001-05-05,13464.339844,13726.450195,13408.990234,13636.610352,13636.610352,0
2001-05-12,13608.839844,13713.059570,13209.549805,13459.179688,13459.179688,0
2001-05-19,13465.719727,13989.160156,13465.719727,13753.990234,13753.990234,0
2001-05-26,13738.070313,13767.450195,13091.509766,13141.379883,13141.379883,0
2001-06-02,13167.019531,13900.679688,13146.719727,13808.889648,13808.889648,0
2001-06-09,13748.429688,13846.330078,12949.070313,13102.500000,13102.500000,0
2001-06-16,13092.769531,13253.339844,12891.200195,13174.019531,13174.019531,0
2001-06-23,13142.429688,13142.429688,12787.009766,13042.530273,13042.530273,0
2001-06-30,13068.299805,13236.980469,12986.589844,12999.480469,12999.480469,0
2001-07-07,12768.620117,12820.849609,12457.509766,12612.790039,12612.790039,972502200
2001-07-14,12663.459961,12692.089844,12191.570313,12301.679688,12301.679688,741003600
2001-07-21,12232.750000,12257.580078,12003.160156,12182.169922,12182.169922,651398600
2001-07-28,12103.559570,12544.639648,12007.669922,12269.080078,12269.080078,986522400
2001-08-04,12255.530273,12260.230469,11605.040039,11765.809570,11765.809570,908982200
2001-08-11,11779.459961,12195.080078,11624.990234,11754.809570,11754.809570,1254517000
2001-08-18,11573.459961,11573.459961,11049.450195,11110.299805,11110.299805,1211148000
2001-08-25,11307.179688,11372.290039,11003.950195,11090.480469,11090.480469,1024774400
2001-09-01,11058.799805,11180.790039,10346.879883,10384.200195,10384.200195,1334312200
2001-09-08,10227.469727,10427.290039,9170.240234,9655.450195,9655.450195,367156400
2001-09-15,9397.240234,9608.509766,8894.360352,8934.200195,8934.200195,1138163000
2001-09-22,8971.469727,9959.349609,8971.469727,9950.700195,9950.700195,1818031100
2001-09-29,9995.219727,10315.009766,9883.759766,10277.379883,10277.379883,1268189800
2001-10-06,10153.559570,10638.580078,9904.929688,10274.129883,10274.129883,2078821800
2001-10-13,10195.639648,10331.820313,9801.629883,9825.839844,9825.839844,1545724000
2001-10-20,9832.110352,10475.190430,9758.980469,10404.740234,10404.740234,1214802000
2001-10-27,10406.929688,10406.929688,9927.410156,10186.059570,10186.059570,1222691000
2001-11-03,10202.299805,10716.549805,10165.509766,10609.250000,10609.250000,1583870800
2001-11-10,10618.070313,11393.490234,10462.019531,11287.370117,11287.370117,1995414000
2001-11-17,11292.980469,11501.040039,11114.540039,11322.360352,11322.360352,1767972000
2001-11-24,11380.000000,11525.259766,10905.040039,11279.250000,11279.250000,1727760400
2001-12-01,11253.980469,11957.830078,11049.150391,11832.179688,11832.179688,2353754400
2001-12-08,11786.910156,11875.030273,11349.509766,11466.110352,11466.110352,1459076200
2001-12-15,11464.379883,11639.219727,11122.200195,11158.099609,11158.099609,1049001800
2001-12-22,11189.519531,11432.290039,11182.450195,11431.589844,11431.589844,358302600
2001-12-29,11431.589844,11727.809570,11241.629883,11702.150391,11702.150391,807967000
2002-01-05,11687.429688,11905.549805,11085.469727,11166.459961,11166.459961,1821603200
2002-01-12,11081.379883,11213.860352,10808.000000,10972.959961,10972.959961,1230640400
2002-01-19,10967.089844,11083.169922,10689.059570,10772.959961,10772.959961,1179933400
2002-01-26,10749.080078,11041.820313,10671.769531,10691.250000,10691.250000,1391512400
2002-02-02,10680.320313,10806.679688,10393.830078,10518.990234,10518.990234,1477189600
2002-02-09,10596.059570,11108.480469,10596.059570,10961.879883,10961.879883,477144800
2002-02-16,10905.490234,11007.000000,10579.809570,10664.940430,10664.940430,884054600
2002-02-23,10679.000000,10757.110352,10387.490234,10425.309570,10425.309570,1113249800
2002-03-02,10593.769531,11331.120117,10561.379883,11233.230469,11233.230469,1744580200
2002-03-09,11234.530273,11381.849609,11150.500000,11210.250000,11210.250000,1283285200
2002-03-16,11224.320313,11317.750000,10810.900391,10863.070313,10863.070313,1357950200
2002-03-23,10855.230469,11075.400391,10715.049805,11032.919922,11032.919922,847928600
2002-03-30,11032.360352,11055.980469,10747.990234,10831.370117,10831.370117,589564000
2002-04-06,10833.160156,10856.639648,10610.759766,10710.480469,10710.480469,900190800
2002-04-13,10720.410156,11285.049805,10690.469727,11252.179688,11252.179688,1327987400
2002-04-20,11259.040039,11461.589844,11102.230469,11385.080078,11385.080078,1502146000
2002-04-27,11329.910156,11863.620117,11260.879883,11797.219727,11797.219727,1318500200
2002-05-04,11771.080078,11962.099609,11591.259766,11645.900391,11645.900391,1337539200
2002-05-11,11653.549805,12021.719727,11650.620117,11974.610352,11974.610352,1128701400
2002-05-18,11959.650391,12006.919922,11586.519531,11626.780273,11626.780273,1006937000
2002-05-25,11608.379883,11612.530273,11260.200195,11301.940430,11301.940430,1102844000
2002-06-01,11339.200195,11475.190430,11204.860352,11284.709961,11284.709961,827321600
2002-06-08,11270.099609,11326.429688,10940.230469,10955.519531,10955.519531,868624400
2002-06-15,10871.509766,10983.719727,10574.030273,10591.860352,10591.860352,1158285400
2002-06-22,10544.450195,10699.320313,10291.160156,10598.549805,10598.549805,1248402600
2002-06-29,10511.120117,10845.879883,10407.580078,10806.160156,10806.160156,770692200
2002-07-06,10923.500000,10939.559570,10482.730469,10648.299805,10648.299805,911461800
2002-07-13,10556.500000,10597.349609,10213.019531,10325.459961,10325.459961,922048800
2002-07-20,10166.259766,10322.490234,9687.500000,9773.120117,9773.120117,1262663000
2002-07-27,9873.440430,10329.049805,9829.549805,9991.719727,9991.719727,950221400
2002-08-03,9913.080078,10149.900391,9632.980469,10014.059570,10014.059570,926730200
2002-08-10,10039.769531,10299.719727,9883.089844,10265.040039,10265.040039,950485800
2002-08-17,10250.400391,10478.650391,10166.540039,10245.690430,10245.690430,828120200
2002-08-24,10232.879883,10266.759766,9988.860352,10043.870117,10043.870117,735632600
2002-08-31,10039.669922,10044.570313,9629.219727,9720.860352,9720.860352,1033991000
2002-09-07,9781.540039,9954.820313,9609.769531,9650.969727,9650.969727,865645200
2002-09-14,9624.839844,9732.330078,9210.940430,9328.219727,9328.219727,1252306400
2002-09-21,9295.690430,9368.139648,9014.580078,9294.459961,9294.459961,898505000
2002-09-28,9098.929688,9241.860352,8915.000000,9051.370117,9051.370117,1003880600
2002-10-05,8844.690430,8990.759766,8772.480469,8965.730469,8965.730469,1176817200
2002-10-12,9153.250000,9744.639648,9131.410156,9613.070313,9613.070313,1439935200
2002-10-19,9593.650391,9809.509766,9507.990234,9722.540039,9722.540039,1281861800
