Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,1028.329956,1066.180054,930.840027,948.650024,948.650024,87278100
2000-01-08,979.669983,1005.869995,937.750000,948.030029,948.030029,117228200
2000-01-15,962.669983,992.849976,906.260010,925.159973,925.159973,114168300
2000-01-22,917.929993,944.309998,875.820007,941.669983,941.669983,132219800
2000-01-29,924.830017,959.309998,922.919983,950.219971,950.219971,118310500
2000-02-05,953.229980,991.710022,941.239990,953.219971,953.219971,126809500
2000-02-12,932.940002,941.229980,843.580017,897.520020,897.520020,113752500
2000-02-19,864.609985,887.820007,835.969971,864.760010,864.760010,131650200
2000-02-26,850.359985,910.020020,810.530029,894.830017,894.830017,115785600
2000-03-04,907.559998,928.549988,883.530029,891.359985,891.359985,173182700
2000-03-11,890.869995,890.869995,820.299988,855.570007,855.570007,160777200
2000-03-18,862.679993,900.059998,838.979980,889.239990,889.239990,128873000
2000-03-25,893.130005,913.349976,860.520020,860.940002,860.940002,130466500
2000-04-01,866.750000,876.809998,804.150024,837.380005,837.380005,99374200
2000-04-08,861.719971,880.409973,793.739990,800.890015,800.890015,79397000
2000-04-15,762.960022,781.549988,699.219971,767.159973,767.159973,125934700
2000-04-22,767.049988,770.719971,688.359985,725.390015,725.390015,103967400
2000-04-29,731.760010,760.989990,729.840027,751.289978,751.289978,56597700
2000-05-06,759.150024,778.460022,737.070007,740.299988,740.299988,75915000
2000-05-13,737.210022,769.010010,695.729980,730.679993,730.679993,98235600
2000-05-20,715.549988,718.299988,643.969971,656.659973,656.659973,142980000
2000-05-27,627.400024,776.489990,625.140015,760.690002,760.690002,194796300
2000-06-03,778.479980,842.130005,778.479980,836.400024,836.400024,213370600
2000-06-10,851.059998,858.340027,753.960022,759.039978,759.039978,207931100
2000-06-17,748.469971,804.200012,744.900024,778.940002,778.940002,177177800
2000-06-24,782.280029,830.799988,779.390015,821.219971,821.219971,205450900
2000-07-01,824.830017,851.619995,810.099976,841.739990,841.739990,267775100
2000-07-08,847.599976,863.530029,826.820007,827.950012,827.950012,269370700
2000-07-15,822.299988,829.190002,771.500000,783.059998,783.059998,159430700
2000-07-22,766.440002,769.809998,691.010010,692.650024,692.650024,157385500
2000-07-29,686.349976,736.229980,678.349976,710.000000,710.000000,132609000
2000-08-05,693.500000,732.780029,665.630005,722.210022,722.210022,128351000
2000-08-12,741.549988,754.460022,726.900024,728.320007,728.320007,123247800
2000-08-19,721.020020,740.700012,706.210022,729.799988,729.799988,139741100
2000-08-26,728.880005,739.530029,682.679993,692.190002,692.190002,120848000
2000-09-02,690.950012,693.659973,647.989990,653.679993,653.679993,120614200
2000-09-09,636.700012,652.500000,621.260010,628.200012,628.200012,65844600
2000-09-16,591.979980,613.010010,551.000000,553.250000,553.250000,163788100
2000-09-23,562.789978,620.080017,562.479980,613.219971,613.219971,175760100
2000-09-30,595.679993,616.219971,571.580017,608.849976,608.849976,138125000
2000-10-07,606.809998,606.900024,498.559998,524.599976,524.599976,152816600
2000-10-14,557.109985,565.880005,485.000000,545.969971,545.969971,173770000
2000-10-21,555.109985,556.000000,515.340027,515.340027,515.340027,138796500
2000-10-28,514.820007,567.070007,483.579987,560.409973,560.409973,187038700
2000-11-04,557.640015,581.469971,545.770020,565.179993,565.179993,177072200
2000-11-11,552.440002,570.359985,536.450012,551.260010,551.260010,149360100
2000-11-18,543.780029,547.559998,512.409973,530.840027,530.840027,152538900
2000-11-25,542.270020,554.039978,489.529999,514.460022,514.460022,165546600
2000-12-02,520.140015,540.630005,499.720001,534.809998,534.809998,153910800
2000-12-09,543.460022,560.159973,533.650024,534.000000,534.000000,160863700
2000-12-16,529.369995,541.780029,497.309998,500.600006,500.600006,146872000
2000-12-23,509.089996,509.950012,501.640015,504.619995,504.619995,25289000
2000-12-30,503.309998,581.409973,500.970001,580.849976,580.849976,157842400
2001-01-06,573.719971,601.090027,557.859985,587.869995,587.869995,299256500
2001-01-13,595.059998,622.250000,587.260010,619.780029,619.780029,260611700
2001-01-20,622.520020,627.450012,591.729980,591.729980,591.729980,92868900
2001-01-27,592.750000,620.780029,587.419983,608.479980,608.479980,214324900
2001-02-03,594.909973,598.969971,573.520020,595.469971,595.469971,165990300
2001-02-10,587.619995,612.260010,584.369995,604.919983,604.919983,174817600
2001-02-17,595.659973,609.359985,571.719971,583.520020,583.520020,208765200
2001-02-24,585.159973,597.119995,557.200012,559.440002,559.440002,160569100
2001-03-03,549.270020,579.280029,549.270020,565.760010,565.760010,182433500
2001-03-10,554.359985,556.840027,522.650024,538.669983,538.669983,185207400
2001-03-17,531.840027,542.789978,520.409973,537.969971,537.969971,166494800
2001-03-24,544.750000,550.260010,516.969971,523.219971,523.219971,217058300
2001-03-31,520.559998,522.090027,493.570007,506.220001,506.220001,119659800
2001-04-07,503.070007,519.479980,491.209991,516.099976,516.099976,165590300
2001-04-14,514.549988,581.630005,505.920013,556.289978,556.289978,218027600
2001-04-21,559.090027,570.989990,547.390015,556.630005,556.630005,168054000
2001-04-28,565.440002,587.179993,564.719971,585.599976,585.599976,174866400
2001-05-05,588.880005,599.049988,575.429993,583.059998,583.059998,258767300
2001-05-12,585.130005,600.539978,572.359985,600.539978,600.539978,277426800
2001-05-19,606.869995,633.159973,606.460022,624.109985,624.109985,326648000
2001-05-26,620.200012,632.090027,603.840027,607.070007,607.070007,215871300
2001-06-02,609.059998,621.900024,594.280029,621.780029,621.780029,183247500
2001-06-09,612.460022,623.369995,603.909973,618.960022,618.960022,184876500
2001-06-16,617.659973,619.820007,589.460022,599.080017,599.080017,215074000
2001-06-23,597.369995,602.770020,580.750000,595.130005,595.130005,95793100
2001-06-30,593.030029,600.510010,578.130005,578.539978,578.539978,1049200
2001-07-07,565.340027,571.159973,545.760010,548.489990,548.489990,1249600
2001-07-14,551.429993,554.929993,534.130005,537.710022,537.710022,1042000
2001-07-21,535.000000,542.580017,512.780029,541.130005,541.130005,1831400
2001-07-28,542.080017,572.030029,532.549988,568.690002,568.690002,1631400
2001-08-04,564.719971,573.559998,549.669983,555.340027,555.340027,1709400
2001-08-11,558.479980,585.359985,552.169983,580.989990,580.989990,1801000
2001-08-18,568.580017,580.510010,560.530029,569.309998,569.309998,2161400
2001-08-25,577.460022,585.340027,542.210022,545.109985,545.109985,2825000
2001-09-01,545.020020,559.169983,539.169983,555.080017,555.080017,2283400
2001-09-08,547.989990,553.609985,472.980011,482.290009,482.290009,595800
2001-09-15,475.309998,491.989990,463.540009,472.309998,472.309998,1975800
2001-09-22,473.750000,491.679993,464.420013,479.679993,479.679993,2482300
2001-09-29,498.869995,502.109985,494.760010,501.920013,501.920013,1329800
2001-10-06,497.440002,526.200012,493.119995,516.400024,516.400024,3044200
2001-10-13,513.549988,530.080017,511.290009,528.039978,528.039978,2290800
2001-10-20,533.679993,547.250000,530.450012,543.409973,543.409973,1849200
2001-10-27,548.219971,554.049988,529.750000,550.570007,550.570007,2682000
2001-11-03,555.619995,579.190002,552.890015,576.750000,576.750000,2715800
2001-11-10,581.710022,612.530029,575.580017,610.880005,610.880005,4057600
2001-11-17,610.770020,647.200012,609.179993,645.179993,645.179993,4173600
2001-11-24,655.080017,680.909973,616.510010,643.890015,643.890015,3752600
2001-12-01,643.609985,715.929993,631.869995,704.500000,704.500000,4115800
2001-12-08,701.359985,702.010010,655.650024,665.200012,665.200012,2848600
2001-12-15,661.289978,666.479980,639.619995,644.710022,644.710022,2618800
2001-12-22,647.729980,695.960022,642.260010,693.700012,693.700012,2015600
2001-12-29,698.000000,750.830017,690.359985,747.719971,747.719971,2002000
2002-01-05,748.539978,757.809998,718.739990,727.359985,727.359985,4351800
2002-01-12,721.429993,744.030029,698.299988,708.469971,708.469971,3283000
2002-01-19,704.729980,784.119995,701.010010,774.679993,774.679993,3289400
2002-01-26,787.650024,787.650024,739.150024,742.419983,742.419983,3592400
2002-02-02,740.979980,747.359985,718.859985,739.659973,739.659973,2721400
2002-02-09,764.150024,796.179993,762.409973,783.590027,783.590027,1507400
2002-02-16,783.750000,797.729980,769.710022,792.000000,792.000000,3459800
